date,username,to,retweets,text,mentions,permalink,is Noise,clean text,text length,is null,pos_count,neg_count,related?,sentiment,system_count,services_count,reason,Date_Time
2019-12-17 16:42:29,MuhanedID,INTERCEPTOR_JED,0,للاسف اسوء بنك في السعوديه هو الراجحي @alrajhibank_en ...وشي آخر انهم من اربح البنوك في السعوديه وما افتكر ان لهم اي مشاريع اللي تساعد او Give back to the communities ... في ستة أشهر فقط هاذي ارباحهم.. https://twitter.com/Moe74198110/status/1206977020720107521/photo/1,@alrajhibank_en,https://twitter.com/MuhanedID/status/1206977977277276160,not noise,لاسف اسوء بنك في السعوديه هو الراجحي وشي اخر انهم من اربح البنوك في السعوديه وما افتكر ان لهم اي مشاريع الي تساعد او Give back to the comunities في سته اشهر فقط هاذي ارباحهم,174,not null,0,1,related,negative,0,0,else,2019-12-17 16:42:29
2019-11-01 18:11:39,dhouom77,Not given,0,اسوء بنك موجود في السعوديه #قاطعوا_مصرف_الراجحي,Not given,https://twitter.com/dhouom77/status/1190330577825734656,not noise,اسوء بنك موجود في السعوديه قاطعوامصرفالراجحي,44,not null,0,1,related,negative,0,0,else,2019-11-01 18:11:39
2019-09-19 13:26:05,osamah3343,Not given,0,كل البنوك سيئين #الراجحي_أسوء_بنك_في_السعودية,Not given,https://twitter.com/osamah3343/status/1174676033880154112,not noise,كل البنوك سيئين الراجحياسوءبنكفيالسعوديه,40,not null,0,3,related,negative,0,0,else,2019-09-19 13:26:05
2019-09-15 13:02:36,abdulla_nofal,Not given,0,#الراجحي_أسوء_بنك_في_السعودية مع,Not given,https://twitter.com/abdulla_nofal/status/1173220570420432896,not noise,الراجحياسوءبنكفيالسعوديه مع,27,not null,0,1,related,neutral,0,0,else,2019-09-15 13:02:36
2019-06-29 20:11:06,taheroraibi115,AlRajhiBank,0,اسوء بنك الان في السعوديه اسدد القرض وغادر منه وكسر جميع صرفاته,Not given,https://twitter.com/taheroraibi115/status/1145062155915599872,not noise,اسوء بنك الان في السعوديه اسد القرض وغادر منه وكسر جميع صرفاته,62,not null,0,1,related,negative,0,0,else,2019-06-29 20:11:06
2019-05-19 12:21:36,skyguard61,AlRajhiBank,0,اسوء بنك في السعودية ويمكن في العالم اجمع. اهربوا بعيد عنه قدر استطاعتكم,Not given,https://twitter.com/skyguard61/status/1130086098112323584,not noise,اسوء بنك في السعوديه ويمكن في العالم اجمع اهربوا بعيد عنه قدر استطاعتكم,71,not null,0,1,related,negative,0,0,else,2019-05-19 12:21:36
2019-01-27 15:36:40,grm91,Not given,1,@AlRajhiBank تطبيقكم معلق كالعاده اسوء بنك في السعوديه,@AlRajhiBank,https://twitter.com/grm91/status/1089547745734610944,not noise,تطبيقكم معلق كالعاده اسوء بنك في السعوديه,42,not null,0,2,related,negative,0,0,else,2019-01-27 15:36:40
2017-02-12 13:05:55,FahedH_,Not given,0,@AlRajhiBank اسوء بنك في #السعوديه بنك الراجحي @HRCSaudi ترا هذول بشر اللي يراجعون شوي حقوق لهم,@AlRajhiBank @HRCSaudi,https://twitter.com/FahedH_/status/830764874032517120,not noise,اسوء بنك في السعوديه بنك الراجحي ترا هذول بشر الي يراجعون شوي حقوق لهم,71,not null,0,1,related,negative,0,0,else,2017-02-12 13:05:55
2017-01-09 17:58:28,OmarBiK11,Not given,2,#مسنه_بنك_الراجحي_بعرعر من خلال تجربة #بنك_الراجحي ي أسوء بنك في السعودية !!,Not given,https://twitter.com/OmarBiK11/status/818517311112052737,not noise,مسنهبنكالراجحيبعرعر من خلال تجربه بنكالراجحي ي اسوء بنك في السعوديه,68,not null,0,1,related,neutral,0,0,else,2017-01-09 17:58:28
2017-01-03 13:48:20,kareemzxzu,Not given,0,#مصرف_الراجحي اسوء مصرف في السعوديه الراجحي افضل مصرف وهو بنك الرياض,Not given,https://twitter.com/kareemzxzu/status/816280034138849280,not noise,مصرفالراجحي اسوء مصرف في السعوديه الراجحي افضل مصرف وهو بنك الرياض,66,not null,1,1,related,neutral,0,0,else,2017-01-03 13:48:20
